country_code,country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,population
KGZ,Kyrgyzstan,11453,11453,11453,11498,11542,11587,11631,11676,11720,11765,11809,11858,11907,11955,12004,12053,12102,12150,12199,12248,12297,12341,12385,12430,12474,12518,12562,12607,12789,12971,13154,13336,6735347
LAO,Laos,178430,178012,177594,177176,176758,176340,175922,175504,175086,174668,174250,173766,173281,172797,172312,171828,171343,170859,170374,169890,169405,169060,168715,168370,168025,167680,167335,166990,166645,166300,165955,165610,7633779
LVA,Latvia,31866,31866,31866,31934,32002,32070,32138,32206,32274,32342,32410,32541,32672,32803,32934,33066,33197,33328,33459,33590,33721,33760,33798,33837,33876,33914,33953,33992,34031,34069,34108,34147,1830211
LBN,Lebanon,1397,1395,1394,1392,1391,1389,1388,1386,1385,1383,1382,1381,1380,1379,1378,1378,1377,1376,1375,1374,1374,1379,1385,1391,1397,1403,1409,1415,1421,1427,1433,1439,5353930
LSO,Lesotho,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,2330318
LBR,Liberia,85252,84950,84647,84345,84042,83739,83437,83134,82832,82529,82226,81924,81621,81319,81016,80713,80411,80108,79806,79503,79200,78898,78595,78293,77990,77687,77385,77082,76780,76477,76174,75872,5418377
LBY,Libya,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,6888388
LIE,Liechtenstein,65,65,65,66,66,66,66,66,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,39584
LTU,Lithuania,19600,19600,19600,19675,19750,19825,19900,19975,20050,20125,20200,20350,20500,20650,20800,20950,21100,21250,21400,21550,21700,21734,21768,21802,21836,21870,21900,21960,21980,22000,22010,22027,2718352
LUX,Luxembourg,867,867,867,867,867,867,867,867,867,867,867,869,871,873,875,877,879,881,883,885,887,887,887,887,887,887,887,887,887,887,887,887,654768
MDG,Madagascar,136935,136272,135609,134946,134283,133621,132958,132295,131632,130969,130307,129838,129369,128901,128432,127963,127495,127026,126557,126088,125620,125488,125355,125223,125091,124959,124827,124695,124562,124430,124298,124166,30325732
MWI,Malawi,35017,34597,34177,33757,33337,32917,32497,32077,31657,31237,30817,30397,29977,29557,29137,28717,28297,27877,27457,27037,26617,26197,25777,25357,24937,24517,24097,23677,23257,22837,22417,21997,20931751
MYS,Malaysia,206185,205258,204331,203404,202476,201549,200622,199695,198768,197841,196914,196170,195426,194682,193939,193195,192451,191708,190964,190220,189477,190510,191543,192576,193609,194642,193146,192645,192143,191642,191140,190639,34308525
MDV,Maldives,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,521021
MLI,Mali,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,23293698
MLT,Malta,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,535064
MHL,Marshall Islands,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,41996
MRT,Mauritania,4760,4706,4652,4597,4543,4488,4434,4380,4325,4271,4216,4162,4108,4053,3999,3944,3890,3836,3781,3727,3672,3618,3564,3509,3455,3400,3346,3292,3237,3183,3128,3074,4862989
MUS,Mauritius,411,412,412,413,414,415,416,417,418,418,419,416,412,409,405,402,398,395,391,387,384,384,384,383,383,383,383,387,387,387,388,388,1300557
MEX,Mexico,705917,703706,701496,699286,697075,694865,692655,690444,688234,686024,683814,682375,680937,679499,678061,676623,675185,673747,672309,670871,669433,668208,666984,665759,664534,663309,662032,660754,659476,658199,656921,655643,128455567
FSM,Micronesia,636,636,636,637,637,637,637,638,638,638,639,639,639,639,640,640,640,640,641,641,641,642,642,642,642,643,643,643,644,644,644,645,115224
MDA,Moldova,3292,3292,3292,3311,3330,3349,3368,3387,3406,3425,3444,3474,3504,3534,3564,3595,3625,3655,3685,3715,3745,3769,3793,3816,3840,3864,3865,3865,3865,3865,3865,3865,3435931
MNG,Mongolia,143520,143432,143344,143256,143168,143080,142991,142903,142815,142727,142639,142559,142479,142399,142319,142239,142159,142079,141999,141919,141839,141828,141817,141806,141794,141783,141772,141761,141750,141739,141728,141717,3447157
MNE,Montenegro,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7667,7868,8069,8270,8270,8270,8270,8270,8270,8270,8270,8270,8270,8270,8270,626485
MAR,Morocco,54853,54874,54895,54917,54938,54959,54980,55002,55023,55044,55065,55233,55401,55569,55738,55906,56074,56242,56410,56578,56746,56766,56786,56806,56827,56847,56998,57116,57216,57321,57425,57530,37840044
MOZ,Mozambique,433780,431590,429400,427210,425020,422830,420640,418450,416260,414070,411880,409664,407448,405232,403017,400801,398585,396369,394153,391937,389721,387657,385593,383529,381464,379400,376283,374066,372242,369661,367438,364976,33897354
MMR,Myanmar,392185,387834,383484,379134,374783,370433,366083,361732,357382,353031,348681,345254,341827,338400,334973,331546,328118,324691,321264,317837,314410,311513,308616,305719,302822,299924,297027,294130,291233,288336,285439,282542,54577997
NAM,Namibia,87692,86982,86272,85561,84851,84141,83431,82721,82011,81301,80591,79881,79171,78461,77750,77040,76330,75620,74910,74200,73490,72780,72070,71360,70650,69940,69229,68519,67809,67099,66389,65679,2604172
NPL,Nepal,56720,56829,56938,57046,57155,57264,57373,57481,57590,57699,57808,57989,58170,58351,58533,58714,58895,59076,59258,59439,59620,59620,59620,59620,59620,59620,59620,59620,59620,59620,59620,59620,30896590
NLD,Netherlands,3453,3467,3482,3496,3510,3524,3538,3552,3567,3581,3595,3609,3623,3637,3651,3665,3679,3693,3707,3721,3735,3718,3700,3683,3666,3648,3658,3667,3676,3686,3695,3704,17618299
NCL,New Caledonia,8311,8318,8325,8331,8338,8345,8352,8358,8365,8372,8379,8380,8381,8382,8383,8384,8386,8387,8388,8389,8390,8389,8388,8387,8386,8385,8384,8383,8382,8381,8380,8379,292991
NZL,New Zealand,93723,94201,94679,95157,95635,96114,96592,97070,97548,98026,98504,98502,98500,98497,98495,98493,98490,98488,98486,98484,98481,98478,98475,98472,98469,98466,98468,98509,98552,98655,98926,99085,5228100
NIC,Nicaragua,63993,62993,61993,60993,59993,58993,57993,56993,55993,54993,53993,52782,51571,50360,49149,47937,46726,45515,44304,43093,41882,41320,40759,40198,39637,39075,38075,37075,36075,35075,34075,33075,7046310
NER,Niger,19450,18833,18216,17599,16982,16366,15749,15132,14515,13898,13281,13157,13033,12908,12784,12660,12536,12412,12287,12163,12039,11915,11791,11666,11542,11418,11294,11170,11045,10921,10797,10673,27202843
NGA,Nigeria,265261,263628,261995,260362,258729,257096,255463,253830,252197,250563,248930,247297,245664,244031,242398,240765,239132,237499,235866,234233,232600,230967,229334,227701,226068,224435,222801,221169,219536,217903,216270,214637,223804632
MKD,North Macedonia,9211,9211,9211,9257,9302,9348,9393,9439,9484,9530,9576,9578,9581,9584,9587,9590,9593,9596,9599,9601,9604,9672,9740,9808,9876,9944,10017,10015,10015,10015,10015,10015,2085679
MNP,Northern Mariana Islands,334,334,333,331,330,328,326,325,323,321,320,318,316,315,313,311,310,308,306,305,303,302,300,298,297,295,244,244,244,244,244,244,49796
NOR,Norway,121320,121301,121282,121263,121244,121225,121206,121187,121168,121149,121130,121119,121108,121097,121086,121075,121064,121053,121042,121031,121020,121098,121176,121254,121332,121410,121488,121566,121644,121722,121800,121878,5474360
OMN,Oman,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,28,27,26,25,25,24,4644384
PAK,Pakistan,49868,49392,48917,48441,47966,47490,47015,46539,46064,45588,45113,44695,44278,43860,43442,43025,42607,42190,41772,41355,40937,40615,40293,39971,39648,39326,38682,38499,38086,37672,37259,36846,240485658
PLW,Palau,383,383,384,386,387,389,390,392,393,394,396,397,398,399,400,401,402,403,404,405,406,406,407,408,409,410,411,412,413,413,414,415,18058
PAN,Panama,46074,45909,45743,45578,45413,45248,45082,44917,44752,44587,44421,44307,44193,44079,43965,43851,43737,43622,43508,43394,43280,43166,43052,42937,42823,42709,42595,42481,42367,42253,42138,42024,4468087
PNG,Papua New Guinea,363997,363875,363753,363632,363510,363388,363267,363145,363023,362901,362780,362681,362582,362482,362383,362284,362185,362086,361987,361888,361789,361480,361171,360862,360553,360244,359899,359564,359228,358893,358558,358222,10329931
PRY,Paraguay,255459,252904,250350,247796,245242,242688,240133,237579,235025,232471,229917,226495,223074,219652,216231,212809,209388,205966,202545,199124,195702,191560,187417,183274,179132,174989,173331,169403,166609,163816,161023,158229,6861524
PER,Peru,764485,763335,762184,761033,759883,758732,757581,756430,755280,754129,752978,751730,750482,749234,747986,746738,745490,744242,742994,741746,740498,738787,737077,735366,733656,731945,730103,728348,726760,725032,723304,721575,34352719
PHL,Philippines,77788,77319,76849,76379,75910,75440,74971,74501,74032,73562,73093,72623,72154,71684,71214,70745,70275,69806,69336,68867,68397,68746,69095,69444,69793,70142,70490,70839,71188,71537,71886,72235,117337368
POL,Poland,88820,88997,89174,89351,89528,89705,89882,90059,90236,90413,90590,90860,91130,91400,91670,91940,92210,92480,92750,93020,93290,93472,93654,93836,94018,94200,94350,94470,94590,94710,94830,94950,41026067
PRT,Portugal,33990,33872,33754,33636,33518,33400,33282,33164,33046,32928,32810,32781,32752,32723,32694,32665,32636,32607,32578,32549,32520,32640,32760,32880,33000,33120,33120,33120,33120,33120,33120,33120,10247605
PRI,Puerto Rico,3203,3312,3421,3530,3639,3747,3856,3965,4074,4183,4292,4354,4416,4478,4541,4603,4665,4728,4790,4852,4915,4919,4924,4929,4934,4939,4944,4949,4954,4958,4963,4968,3260314
ROU,Romania,63710,63705,63700,63695,63690,63685,63680,63675,63670,63665,63660,63809,63958,64107,64256,64405,64554,64703,64852,65001,65150,65922,66694,67466,68238,69010,69291,69291,69291,69291,69291,69291,19892812
RUS,Russia,8090136,8090136,8090136,8090455,8090773,8091092,8091411,8091729,8092048,8092366,8092685,8098552,8104419,8110286,8116153,8122021,8127888,8133755,8139622,8145489,8151356,8150946,8150535,8150125,8149715,8149305,8151210,8153116,8153116,8153116,8153116,8153116,144444359
RWA,Rwanda,3170,3140,3110,3080,3050,3020,2990,2960,2930,2900,2870,2848,2826,2804,2782,2760,2738,2716,2694,2672,2650,2660,2670,2680,2690,2700,2720,2730,2740,2750,2760,2770,14094683
WSM,Samoa,1761,1756,1752,1747,1742,1737,1732,1728,1723,1718,1713,1708,1703,1699,1694,1689,1684,1679,1675,1670,1665,1660,1655,1650,1646,1641,1636,1631,1626,1622,1617,1612,225681
SMR,San Marino,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,33642
STP,Sao Tome and Principe,586,586,586,585,585,585,585,584,584,584,584,583,583,583,583,582,582,582,582,581,581,575,569,562,556,550,544,538,531,525,519,513,231856
SAU,Saudi Arabia,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,36947025
SEN,Senegal,93032,92582,92132,91682,91232,90782,90332,89882,89432,88982,88532,88147,87762,87377,86992,86607,86222,85837,85452,85067,84682,84282,83882,83482,83082,82682,82282,81882,81482,81082,80682,80282,17763163
SRB,Serbia,26118,26118,26118,26118,26118,26118,26118,26118,26118,26118,26118,26118,26118,26118,26118,26118,26118,26371,26624,26877,27130,27143,27156,27169,27182,27195,27202,27219,27220,27222,27227,27229,7149077
SYC,Seychelles,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,107660
SLE,Sierra Leone,31267,31070,30872,30675,30478,30281,30083,29886,29689,29492,29294,29097,28900,28702,28505,28308,28111,27913,27716,27519,27322,27124,26927,26730,26533,26335,26138,25941,25743,25546,25349,25152,8791092
SGP,Singapore,148,150,153,155,157,159,161,164,166,168,170,171,172,172,173,174,174,175,176,177,177,175,172,170,167,165,163,161,159,158,156,154,6014723
SXM,Sint Maarten,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,44222
SVK,Slovakia,19022,19022,19022,19022,19021,19019,19018,19017,19016,19015,19014,19031,19047,19064,19080,19097,19113,19130,19146,19163,19179,19187,19194,19202,19210,19218,19234,19259,19259,19259,19259,19259,5795199
SVN,Slovenia,11970,11970,11970,12015,12060,12105,12150,12195,12240,12285,12330,12344,12358,12372,12386,12400,12414,12428,12442,12456,12470,12472,12474,12476,12478,12480,12460,12439,12419,12399,12378,12358,2119675
SLB,Solomon Islands,25449,25442,25434,25427,25420,25413,25405,25398,25391,25383,25376,25369,25361,25354,25347,25339,25332,25325,25317,25310,25303,25295,25288,25281,25274,25266,25259,25252,25244,25237,25230,25222,740424
SOM,Somalia,82825,82058,81290,80523,79755,78988,78220,77453,76685,75918,75150,74383,73615,72848,72080,71313,70545,69778,69010,68243,67475,66708,65940,65173,64405,63638,62870,62103,61335,60568,59800,59033,18143378
ZAF,South Africa,181421,181057,180693,180329,179965,179601,179237,178873,178509,178145,177781,177417,177053,176689,176325,175961,175597,175233,174869,174505,174141,173777,173413,173049,172685,172321,171957,171593,171229,170865,170501,170137,60414495
SSD,South Sudan,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,11088796
ESP,Spain,139047,142236,145425,148614,151804,154993,158182,161371,164561,167750,170939,172391,173842,175294,176745,178196,179648,181099,182551,184002,185453,185465,185477,185488,185500,185512,185552,185593,185636,185679,185722,185765,47519628
LKA,Sri Lanka,23503,23319,23135,22952,22768,22584,22400,22216,22032,21848,21664,21601,21539,21476,21413,21350,21287,21225,21162,21099,21036,21087,21137,21187,21238,21288,21257,21225,21193,21162,21130,21099,21893579
KNA,Saint Kitts and Nevis,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,47755
LCA,Saint Lucia,213,212,212,212,212,211,211,211,211,210,210,210,210,209,209,209,209,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,180251
MAF,Saint Martin,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,32077
VCT,Saint Vincent and the Grenadines,275,276,277,278,279,280,281,282,283,284,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,103698
SDN,Sudan,307273,305529,303785,302041,300297,298552,296808,295064,293320,291576,289832,288087,286342,284597,282852,281107,279362,277617,275872,274127,272382,270639,197327,195584,193842,192099,190482,188760,187039,185317,183596,181874,48109006
SUR,Suriname,153776,153740,153703,153666,153629,153593,153556,153519,153482,153445,153409,153368,153327,153286,153245,153204,153163,153122,153081,153040,152999,152902,152806,152709,152613,152517,152403,152330,152208,152085,151963,151840,623236
SWE,Sweden,280630,280730,280830,280930,281030,281130,281230,281330,281430,281530,281630,281540,281450,281360,281270,281180,281090,281000,280910,280820,280730,280544,280358,280172,279986,279800,279800,279800,279800,279800,279800,279800,10612086
CHE,Switzerland,11535,11578,11620,11663,11706,11748,11791,11834,11876,11919,11962,12000,12039,12077,12116,12155,12193,12232,12270,12309,12347,12382,12416,12450,12485,12519,12554,12588,12622,12657,12691,12726,8796669
SYR,Syria,3721,3781,3841,3901,3961,4021,4081,4141,4201,4261,4321,4381,4441,4501,4561,4621,4681,4741,4801,4861,4921,4981,5041,5101,5161,5221,5221,5221,5221,5221,5221,5221,23227014
TJK,Tajikistan,4084,4084,4084,4086,4088,4090,4092,4094,4096,4098,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4124,4147,4171,4194,4218,4218,4218,4218,4228,4238,4248,10143543
TZA,Tanzania,573900,570180,566460,562740,559020,555300,551580,547860,544140,540420,536700,532980,529260,525540,521820,518100,514380,510660,506940,503220,499500,495780,492060,488340,484620,480900,476210,471520,466830,462140,457450,452760,67438106
THA,Thailand,193610,193247,192884,192521,192158,191795,191432,191069,190706,190343,189980,191055,192130,193205,194280,195355,196430,197505,198580,199655,200730,200706,200682,200658,200634,200610,200170,199810,199450,199090,198730,198370,71801279
TLS,Timor-Leste,9631,9617,9603,9589,9575,9561,9547,9533,9519,9505,9491,9477,9463,9449,9435,9421,9407,9393,9379,9365,9351,9337,9323,9309,9295,9281,9267,9256,9239,9225,9211,9197,1360596
TGO,Togo,13617,13523,13430,13337,13244,13151,13057,12964,12871,12778,12685,12655,12625,12596,12566,12537,12507,12477,12448,12418,12389,12359,12330,12300,12270,12241,12211,12182,12152,12122,12093,12063,9053799
TON,Tonga,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,107773
TTO,Trinidad and Tobago,2421,2415,2410,2404,2399,2394,2388,2383,2377,2372,2367,2362,2358,2354,2350,2345,2341,2337,2333,2328,2324,2320,2316,2311,2307,2303,2299,2295,2290,2286,2282,2278,1534937
TUN,Tunisia,6440,6464,6488,6511,6535,6559,6583,6607,6631,6655,6679,6698,6718,6737,6757,6776,6796,6816,6835,6855,6874,6890,6905,6920,6936,6951,6966,6981,6997,7012,7027,7043,12458223
TUR,Turkey,197835,198200,198565,198929,199294,199659,200024,200389,200754,201119,201484,202418,203353,204288,205222,206157,207092,208027,208961,209896,210831,211925,213020,214114,215209,216303,216303,217525,219084,220644,222204,223764,85816199
TKM,Turkmenistan,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,6516100
TCA,Turks and Caicos Islands,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,46062
TUV,Tuvalu,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11396
UGA,Uganda,35755,35342,34930,34517,34105,33692,33280,32867,32455,32042,31630,31217,30804,30392,29979,29567,29154,28742,28329,27917,27504,27092,26679,26267,25854,25442,25029,24617,24204,23792,23379,22966,48582334
UKR,Ukraine,93212,93212,93212,93448,93684,93920,94156,94392,94628,94864,95100,95138,95176,95214,95252,95290,95328,95366,95404,95442,95480,95698,95916,96134,96352,96570,96640,96710,96780,96840,96900,96960,36744634
ARE,United Arab Emirates,2450,2514,2579,2643,2708,2772,2837,2901,2965,3030,3094,3102,3110,3118,3126,3134,3142,3149,3157,3165,3173,3173,3173,3173,3173,3173,3173,3173,3173,3173,3173,3173,9516871
GBR,United Kingdom,27780,27956,28132,28308,28484,28660,28836,29012,29188,29364,29540,29645,29750,29855,29960,30065,30170,30275,30380,30485,30590,30782,30974,31166,31358,31550,31590,31640,31730,31820,31900,31987,67736802
USA,United States,3024500,3025586,3026672,3027758,3028844,3029930,3031016,3032102,3033188,3034274,3035360,3040544,3045728,3050912,3056096,3061280,3066464,3071648,3076832,3082016,3087200,3089950,3092700,3095450,3098200,3100950,3100950,3097950,3097950,3097950,3097950,3097950,339996563
URY,Uruguay,7980,8551,9122,9693,10264,10835,11406,11977,12548,13119,13690,14052,14415,14777,15139,15502,15864,16226,16588,16951,17313,17690,18068,18445,18823,19200,19470,19680,19890,20100,20310,20520,3423108
UZB,Uzbekistan,26318,26318,26318,26730,27142,27554,27966,28378,28790,29203,29615,30003,30391,30779,31167,31555,31943,32332,32720,33108,33496,33896,34295,34695,35094,35494,35863,36121,36380,36638,36897,37155,35163944
VUT,Vanuatu,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,334506
VEN,Venezuela,520260,517385,514510,511635,508760,505885,503010,500135,497260,494385,491510,489864,488218,486572,484926,483280,481634,479988,478342,476696,475050,473406,471762,470118,468474,466830,465433,464282,463378,462720,462309,461734,28838499
VNM,Vietnam,93760,96168,98576,100984,103392,105800,108208,110617,113025,115433,117841,119445,121049,122653,124257,125861,127465,129069,130673,132277,133881,135228,136576,137923,139271,140619,143777,144154,144913,145672,146431,147190,98858950
VIR,United States Virgin Islands,245,241,237,233,229,225,221,217,213,209,205,203,201,199,197,195,192,190,188,186,184,186,187,189,190,192,193,195,196,198,199,201,98750
PSE,Palestine,91,91,91,91,91,91,91,91,91,91,91,92,93,93,94,95,96,97,98,99,100,100,100,101,101,101,101,101,101,101,101,101,5371230
YEM,Yemen,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,34449825
ZMB,Zambia,474120,473762,473404,473046,472688,472330,471972,471614,471256,470898,470540,470182,469824,469466,469108,468750,468392,468034,467676,467318,466960,465078,463196,461315,459433,457551,455668,453787,451905,450022,448140,446258,20569737
ZWE,Zimbabwe,188267,187806,187345,186885,186424,185963,185503,185042,184581,184121,183660,183199,182738,182278,181817,181356,180896,180435,179974,179514,179053,178592,178131,177671,177210,176749,176289,175828,175367,174907,174446,173985,16665409
